mean: -0.00108, std: 0.00006, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.1}
mean: -0.00108, std: 0.00006, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.2}
mean: -0.00108, std: 0.00006, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.3}
mean: -0.00108, std: 0.00006, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.4}
mean: -0.00108, std: 0.00006, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.5}
mean: -0.00108, std: 0.00006, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.6}
mean: -0.00109, std: 0.00004, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.7}
mean: -0.00152, std: 0.00062, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.8}
mean: -0.00152, std: 0.00062, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.9}
mean: -0.00152, std: 0.00062, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.0}
mean: -0.00152, std: 0.00062, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.1}
mean: -0.00152, std: 0.00062, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.2}
mean: -0.00152, std: 0.00062, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.3}
mean: -0.00149, std: 0.00065, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.4}
mean: -0.00105, std: 0.00009, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.5}
mean: -0.00105, std: 0.00009, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.6}
mean: -0.00105, std: 0.00009, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.7}
mean: -0.00105, std: 0.00009, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.8}
mean: -0.00105, std: 0.00009, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.9}
mean: -0.00105, std: 0.00009, params: {'hidden0_num_units': 4, 'update_learning_rate': 2.0}
mean: -0.00174, std: 0.00100, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.1}
mean: -0.00174, std: 0.00100, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.2}
mean: -0.00174, std: 0.00100, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.3}
mean: -0.00174, std: 0.00100, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.4}
mean: -0.00174, std: 0.00100, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.5}
