mean: -0.00165, std: 0.00048, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.1}
mean: -0.00165, std: 0.00048, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.2}
mean: -0.00165, std: 0.00048, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.3}
mean: -0.00165, std: 0.00048, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.4}
mean: -0.00165, std: 0.00048, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.5}
mean: -0.00165, std: 0.00048, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.6}
mean: -0.00169, std: 0.00044, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.7}
mean: -0.00137, std: 0.00012, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.8}
mean: -0.00137, std: 0.00012, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.9}
mean: -0.00137, std: 0.00012, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.0}
mean: -0.00137, std: 0.00012, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.1}
mean: -0.00137, std: 0.00012, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.2}
mean: -0.00137, std: 0.00012, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.3}
mean: -0.00099, std: 0.00022, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.4}
mean: -0.00094, std: 0.00015, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.5}
mean: -0.00094, std: 0.00015, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.6}
mean: -0.00094, std: 0.00015, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.7}
mean: -0.00094, std: 0.00015, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.8}
mean: -0.00094, std: 0.00015, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.9}
mean: -0.00094, std: 0.00015, params: {'hidden0_num_units': 4, 'update_learning_rate': 2.0}
mean: -0.00087, std: 0.00009, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.1}
mean: -0.00087, std: 0.00009, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.2}
mean: -0.00087, std: 0.00009, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.3}
mean: -0.00087, std: 0.00009, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.4}
mean: -0.00087, std: 0.00009, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.5}
mean: -0.00087, std: 0.00009, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.6}
mean: -0.00089, std: 0.00007, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.7}
mean: -0.00092, std: 0.00007, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.8}
mean: -0.00092, std: 0.00007, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.9}
mean: -0.00092, std: 0.00007, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.0}
mean: -0.00092, std: 0.00007, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.1}
mean: -0.00092, std: 0.00007, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.2}
mean: -0.00092, std: 0.00007, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.3}
mean: -0.00095, std: 0.00008, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.4}
mean: -0.00099, std: 0.00007, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.5}
mean: -0.00099, std: 0.00007, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.6}
mean: -0.00099, std: 0.00007, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.7}
mean: -0.00099, std: 0.00007, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.8}
mean: -0.00099, std: 0.00007, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.9}
mean: -0.00099, std: 0.00007, params: {'hidden0_num_units': 5, 'update_learning_rate': 2.0}
mean: -0.00144, std: 0.00015, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.1}
mean: -0.00144, std: 0.00015, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.2}
mean: -0.00144, std: 0.00015, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.3}
mean: -0.00144, std: 0.00015, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.4}
mean: -0.00144, std: 0.00015, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.5}
mean: -0.00144, std: 0.00015, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.6}
mean: -0.00137, std: 0.00021, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.7}
mean: -0.00135, std: 0.00016, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.8}
mean: -0.00135, std: 0.00016, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.9}
mean: -0.00135, std: 0.00016, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.0}
mean: -0.00135, std: 0.00016, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.1}
mean: -0.00135, std: 0.00016, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.2}
mean: -0.00135, std: 0.00016, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.3}
mean: -0.00113, std: 0.00026, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.4}
mean: -0.00096, std: 0.00005, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.5}
mean: -0.00096, std: 0.00005, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.6}
mean: -0.00096, std: 0.00005, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.7}
mean: -0.00096, std: 0.00005, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.8}
mean: -0.00096, std: 0.00005, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.9}
mean: -0.00096, std: 0.00005, params: {'hidden0_num_units': 6, 'update_learning_rate': 2.0}
mean: -0.00098, std: 0.00009, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.1}
mean: -0.00098, std: 0.00009, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.2}
mean: -0.00098, std: 0.00009, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.3}
mean: -0.00098, std: 0.00009, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.4}
mean: -0.00098, std: 0.00009, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.5}
mean: -0.00098, std: 0.00009, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.6}
mean: -0.00139, std: 0.00049, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.7}
mean: -0.00216, std: 0.00025, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.8}
mean: -0.00216, std: 0.00025, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.9}
mean: -0.00216, std: 0.00025, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.0}
mean: -0.00216, std: 0.00025, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.1}
mean: -0.00216, std: 0.00025, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.2}
mean: -0.00216, std: 0.00025, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.3}
mean: -0.00131, std: 0.00042, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.4}
mean: -0.00100, std: 0.00007, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.5}
mean: -0.00100, std: 0.00007, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.6}
mean: -0.00100, std: 0.00007, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.7}
mean: -0.00100, std: 0.00007, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.8}
mean: -0.00100, std: 0.00007, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.9}
