mean: -0.00165, std: 0.00022, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.1}
mean: -0.00165, std: 0.00022, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.2}
mean: -0.00165, std: 0.00022, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.3}
mean: -0.00165, std: 0.00022, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.4}
mean: -0.00165, std: 0.00022, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.5}
mean: -0.00165, std: 0.00022, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.6}
mean: -0.00169, std: 0.00019, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.7}
mean: -0.00156, std: 0.00007, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.8}
mean: -0.00156, std: 0.00007, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.9}
mean: -0.00156, std: 0.00007, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.0}
mean: -0.00156, std: 0.00007, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.1}
mean: -0.00156, std: 0.00007, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.2}
mean: -0.00156, std: 0.00007, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.3}
mean: -0.00154, std: 0.00009, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.4}
mean: -0.00150, std: 0.00008, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.5}
mean: -0.00150, std: 0.00008, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.6}
mean: -0.00150, std: 0.00008, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.7}
mean: -0.00150, std: 0.00008, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.8}
mean: -0.00150, std: 0.00008, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.9}
mean: -0.00150, std: 0.00008, params: {'hidden0_num_units': 4, 'update_learning_rate': 2.0}
mean: -0.00135, std: 0.00003, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.1}
mean: -0.00135, std: 0.00003, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.2}
mean: -0.00135, std: 0.00003, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.3}
mean: -0.00135, std: 0.00003, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.4}
mean: -0.00135, std: 0.00003, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.5}
mean: -0.00135, std: 0.00003, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.6}
mean: -0.00140, std: 0.00007, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.7}
mean: -0.00146, std: 0.00011, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.8}
mean: -0.00146, std: 0.00011, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.9}
mean: -0.00146, std: 0.00011, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.0}
mean: -0.00146, std: 0.00011, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.1}
mean: -0.00146, std: 0.00011, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.2}
mean: -0.00146, std: 0.00011, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.3}
mean: -0.00143, std: 0.00009, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.4}
mean: -0.00146, std: 0.00005, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.5}
mean: -0.00146, std: 0.00005, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.6}
mean: -0.00146, std: 0.00005, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.7}
