mean: -0.00046, std: 0.00003, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.1}
mean: -0.00046, std: 0.00003, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.2}
mean: -0.00046, std: 0.00003, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.3}
mean: -0.00046, std: 0.00003, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.4}
mean: -0.00046, std: 0.00003, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.5}
mean: -0.00046, std: 0.00003, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.6}
mean: -0.00045, std: 0.00004, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.7}
mean: -0.00039, std: 0.00001, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.8}
mean: -0.00039, std: 0.00001, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.9}
mean: -0.00039, std: 0.00001, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.0}
mean: -0.00039, std: 0.00001, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.1}
mean: -0.00039, std: 0.00001, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.2}
mean: -0.00039, std: 0.00001, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.3}
mean: -0.00065, std: 0.00018, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.4}
mean: -0.00070, std: 0.00011, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.5}
mean: -0.00070, std: 0.00011, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.6}
mean: -0.00070, std: 0.00011, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.7}
mean: -0.00070, std: 0.00011, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.8}
mean: -0.00070, std: 0.00011, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.9}
mean: -0.00070, std: 0.00011, params: {'hidden0_num_units': 4, 'update_learning_rate': 2.0}
mean: -0.00045, std: 0.00003, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.1}
mean: -0.00045, std: 0.00003, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.2}
mean: -0.00045, std: 0.00003, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.3}
mean: -0.00045, std: 0.00003, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.4}
mean: -0.00045, std: 0.00003, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.5}
mean: -0.00045, std: 0.00003, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.6}
mean: -0.00046, std: 0.00003, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.7}
mean: -0.00047, std: 0.00005, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.8}
mean: -0.00047, std: 0.00005, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.9}
mean: -0.00047, std: 0.00005, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.0}
mean: -0.00047, std: 0.00005, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.1}
mean: -0.00047, std: 0.00005, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.2}
mean: -0.00047, std: 0.00005, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.3}
mean: -0.00041, std: 0.00002, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.4}
mean: -0.00042, std: 0.00001, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.5}
mean: -0.00042, std: 0.00001, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.6}
mean: -0.00042, std: 0.00001, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.7}
mean: -0.00042, std: 0.00001, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.8}
mean: -0.00042, std: 0.00001, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.9}
mean: -0.00042, std: 0.00001, params: {'hidden0_num_units': 5, 'update_learning_rate': 2.0}
mean: -0.00039, std: 0.00000, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.1}
mean: -0.00039, std: 0.00000, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.2}
mean: -0.00039, std: 0.00000, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.3}
mean: -0.00039, std: 0.00000, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.4}
mean: -0.00039, std: 0.00000, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.5}
mean: -0.00039, std: 0.00000, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.6}
mean: -0.00038, std: 0.00001, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.7}
mean: -0.00042, std: 0.00010, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.8}
mean: -0.00042, std: 0.00010, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.9}
mean: -0.00042, std: 0.00010, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.0}
mean: -0.00042, std: 0.00010, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.1}
mean: -0.00042, std: 0.00010, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.2}
mean: -0.00042, std: 0.00010, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.3}
mean: -0.00041, std: 0.00001, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.4}
mean: -0.00041, std: 0.00001, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.5}
mean: -0.00041, std: 0.00001, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.6}
mean: -0.00041, std: 0.00001, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.7}
mean: -0.00039, std: 0.00003, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.8}
mean: -0.00041, std: 0.00001, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.9}
mean: -0.00046, std: 0.00007, params: {'hidden0_num_units': 6, 'update_learning_rate': 2.0}
mean: -0.00061, std: 0.00017, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.1}
mean: -0.00061, std: 0.00017, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.2}
mean: -0.00061, std: 0.00017, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.3}
mean: -0.00061, std: 0.00017, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.4}
mean: -0.00060, std: 0.00018, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.5}
mean: -0.00061, std: 0.00017, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.6}
mean: -0.00051, std: 0.00005, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.7}
mean: -0.00052, std: 0.00003, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.8}
mean: -0.00052, std: 0.00003, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.9}
mean: -0.00052, std: 0.00003, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.0}
mean: -0.00053, std: 0.00003, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.1}
mean: -0.00052, std: 0.00003, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.2}
mean: -0.00052, std: 0.00003, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.3}
mean: -0.00056, std: 0.00008, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.4}
mean: -0.00056, std: 0.00008, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.5}
mean: -0.00056, std: 0.00008, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.6}
mean: -0.00056, std: 0.00008, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.7}
mean: -0.00052, std: 0.00003, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.8}
mean: -0.00056, std: 0.00008, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.9}
mean: -0.00054, std: 0.00010, params: {'hidden0_num_units': 7, 'update_learning_rate': 2.0}
mean: -0.00047, std: 0.00003, params: {'hidden0_num_units': 8, 'update_learning_rate': 0.1}
mean: -0.00047, std: 0.00003, params: {'hidden0_num_units': 8, 'update_learning_rate': 0.2}
