took 312.488506079ec


mean: -0.03155, std: 0.00007, params: {'max_depth': 10, 'min_samples_leaf': 1}
mean: -0.03156, std: 0.00013, params: {'max_depth': 10, 'min_samples_leaf': 2}
mean: -0.03153, std: 0.00011, params: {'max_depth': 10, 'min_samples_leaf': 3}
mean: -0.03155, std: 0.00013, params: {'max_depth': 10, 'min_samples_leaf': 4}
mean: -0.03157, std: 0.00011, params: {'max_depth': 10, 'min_samples_leaf': 5}
mean: -0.03157, std: 0.00009, params: {'max_depth': 10, 'min_samples_leaf': 6}
mean: -0.03165, std: 0.00014, params: {'max_depth': 10, 'min_samples_leaf': 7}
mean: -0.03167, std: 0.00012, params: {'max_depth': 10, 'min_samples_leaf': 8}
mean: -0.03170, std: 0.00013, params: {'max_depth': 10, 'min_samples_leaf': 9}
mean: -0.03171, std: 0.00014, params: {'max_depth': 10, 'min_samples_leaf': 10}
mean: -0.03185, std: 0.00016, params: {'max_depth': 10, 'min_samples_leaf': 11}
mean: -0.03190, std: 0.00010, params: {'max_depth': 10, 'min_samples_leaf': 12}
mean: -0.03192, std: 0.00014, params: {'max_depth': 10, 'min_samples_leaf': 13}
mean: -0.03041, std: 0.00113, params: {'max_depth': 10, 'min_samples_leaf': 14}
mean: -0.02133, std: 0.00146, params: {'max_depth': 11, 'min_samples_leaf': 1}
mean: -0.02249, std: 0.00020, params: {'max_depth': 11, 'min_samples_leaf': 2}
mean: -0.02130, std: 0.00153, params: {'max_depth': 11, 'min_samples_leaf': 3}
mean: -0.02137, std: 0.00139, params: {'max_depth': 11, 'min_samples_leaf': 4}
mean: -0.02247, std: 0.00008, params: {'max_depth': 11, 'min_samples_leaf': 5}
mean: -0.02057, std: 0.00139, params: {'max_depth': 11, 'min_samples_leaf': 6}
mean: -0.01964, std: 0.00013, params: {'max_depth': 11, 'min_samples_leaf': 7}
mean: -0.02176, std: 0.00125, params: {'max_depth': 11, 'min_samples_leaf': 8}
mean: -0.02283, std: 0.00014, params: {'max_depth': 11, 'min_samples_leaf': 9}
mean: -0.02200, std: 0.00137, params: {'max_depth': 11, 'min_samples_leaf': 10}
mean: -0.02109, std: 0.00136, params: {'max_depth': 11, 'min_samples_leaf': 11}
mean: -0.02133, std: 0.00153, params: {'max_depth': 11, 'min_samples_leaf': 12}
mean: -0.02332, std: 0.00021, params: {'max_depth': 11, 'min_samples_leaf': 13}
mean: -0.02064, std: 0.00022, params: {'max_depth': 11, 'min_samples_leaf': 14}
mean: -0.01374, std: 0.00189, params: {'max_depth': 12, 'min_samples_leaf': 1}
mean: -0.01376, std: 0.00184, params: {'max_depth': 12, 'min_samples_leaf': 2}
mean: -0.01520, std: 0.00175, params: {'max_depth': 12, 'min_samples_leaf': 3}
mean: -0.01534, std: 0.00167, params: {'max_depth': 12, 'min_samples_leaf': 4}
mean: -0.01426, std: 0.00169, params: {'max_depth': 12, 'min_samples_leaf': 5}
mean: -0.01547, std: 0.00166, params: {'max_depth': 12, 'min_samples_leaf': 6}
