mean: -0.00159, std: 0.00022, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.1}
mean: -0.00159, std: 0.00022, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.2}
mean: -0.00159, std: 0.00022, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.3}
mean: -0.00159, std: 0.00022, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.4}
mean: -0.00159, std: 0.00022, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.5}
mean: -0.00159, std: 0.00022, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.6}
mean: -0.00164, std: 0.00019, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.7}
mean: -0.00146, std: 0.00008, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.8}
mean: -0.00146, std: 0.00008, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.9}
mean: -0.00146, std: 0.00008, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.0}
mean: -0.00146, std: 0.00008, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.1}
mean: -0.00146, std: 0.00008, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.2}
mean: -0.00146, std: 0.00008, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.3}
mean: -0.00138, std: 0.00014, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.4}
mean: -0.00142, std: 0.00014, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.5}
mean: -0.00142, std: 0.00014, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.6}
mean: -0.00142, std: 0.00014, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.7}
mean: -0.00142, std: 0.00014, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.8}
mean: -0.00142, std: 0.00014, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.9}
mean: -0.00142, std: 0.00014, params: {'hidden0_num_units': 4, 'update_learning_rate': 2.0}
mean: -0.00126, std: 0.00009, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.1}
mean: -0.00126, std: 0.00009, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.2}
mean: -0.00126, std: 0.00009, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.3}
mean: -0.00126, std: 0.00009, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.4}
mean: -0.00126, std: 0.00009, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.5}
mean: -0.00126, std: 0.00009, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.6}
mean: -0.00129, std: 0.00005, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.7}
mean: -0.00136, std: 0.00013, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.8}
mean: -0.00136, std: 0.00013, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.9}
mean: -0.00136, std: 0.00013, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.0}
mean: -0.00136, std: 0.00013, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.1}
mean: -0.00136, std: 0.00013, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.2}
mean: -0.00136, std: 0.00013, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.3}
mean: -0.00136, std: 0.00012, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.4}
mean: -0.00133, std: 0.00015, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.5}
mean: -0.00133, std: 0.00015, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.6}
mean: -0.00133, std: 0.00015, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.7}
mean: -0.00133, std: 0.00015, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.8}
mean: -0.00133, std: 0.00015, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.9}
mean: -0.00133, std: 0.00015, params: {'hidden0_num_units': 5, 'update_learning_rate': 2.0}
mean: -0.00147, std: 0.00012, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.1}
mean: -0.00147, std: 0.00012, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.2}
mean: -0.00147, std: 0.00012, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.3}
mean: -0.00147, std: 0.00012, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.4}
mean: -0.00147, std: 0.00012, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.5}
mean: -0.00147, std: 0.00012, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.6}
mean: -0.00169, std: 0.00019, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.7}
mean: -0.00208, std: 0.00041, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.8}
mean: -0.00208, std: 0.00041, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.9}
mean: -0.00208, std: 0.00041, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.0}
mean: -0.00208, std: 0.00041, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.1}
mean: -0.00208, std: 0.00041, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.2}
mean: -0.00208, std: 0.00041, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.3}
mean: -0.00149, std: 0.00017, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.4}
mean: -0.00142, std: 0.00012, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.5}
mean: -0.00142, std: 0.00012, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.6}
mean: -0.00142, std: 0.00012, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.7}
mean: -0.00142, std: 0.00012, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.8}
mean: -0.00142, std: 0.00012, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.9}
mean: -0.00142, std: 0.00012, params: {'hidden0_num_units': 6, 'update_learning_rate': 2.0}
mean: -0.00131, std: 0.00009, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.1}
mean: -0.00131, std: 0.00009, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.2}
mean: -0.00131, std: 0.00009, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.3}
mean: -0.00131, std: 0.00009, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.4}
mean: -0.00131, std: 0.00009, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.5}
mean: -0.00131, std: 0.00009, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.6}
mean: -0.00228, std: 0.00130, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.7}
mean: -0.00382, std: 0.00098, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.8}
mean: -0.00382, std: 0.00098, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.9}
mean: -0.00382, std: 0.00098, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.0}
mean: -0.00382, std: 0.00098, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.1}
mean: -0.00382, std: 0.00098, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.2}
mean: -0.00382, std: 0.00098, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.3}
mean: -0.00169, std: 0.00059, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.4}
mean: -0.00135, std: 0.00017, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.5}
mean: -0.00135, std: 0.00017, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.6}
mean: -0.00135, std: 0.00017, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.7}
mean: -0.00135, std: 0.00017, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.8}
mean: -0.00135, std: 0.00017, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.9}
mean: -0.00136, std: 0.00016, params: {'hidden0_num_units': 7, 'update_learning_rate': 2.0}
mean: -0.00133, std: 0.00014, params: {'hidden0_num_units': 8, 'update_learning_rate': 0.1}
mean: -0.00128, std: 0.00010, params: {'hidden0_num_units': 8, 'update_learning_rate': 0.2}
mean: -0.00128, std: 0.00010, params: {'hidden0_num_units': 8, 'update_learning_rate': 0.3}
mean: -0.00128, std: 0.00010, params: {'hidden0_num_units': 8, 'update_learning_rate': 0.4}
mean: -0.00128, std: 0.00010, params: {'hidden0_num_units': 8, 'update_learning_rate': 0.5}
mean: -0.00128, std: 0.00010, params: {'hidden0_num_units': 8, 'update_learning_rate': 0.6}
mean: -0.00133, std: 0.00016, params: {'hidden0_num_units': 8, 'update_learning_rate': 0.7}
mean: -0.00144, std: 0.00007, params: {'hidden0_num_units': 8, 'update_learning_rate': 0.8}
mean: -0.00144, std: 0.00007, params: {'hidden0_num_units': 8, 'update_learning_rate': 0.9}
mean: -0.00144, std: 0.00007, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.0}
mean: -0.00144, std: 0.00007, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.1}
mean: -0.00144, std: 0.00007, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.2}
mean: -0.00144, std: 0.00007, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.3}
mean: -0.00169, std: 0.00014, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.4}
mean: -0.00189, std: 0.00020, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.5}
mean: -0.00189, std: 0.00020, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.6}
mean: -0.00189, std: 0.00020, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.7}
mean: -0.00189, std: 0.00020, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.8}
mean: -0.00189, std: 0.00020, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.9}
mean: -0.00209, std: 0.00017, params: {'hidden0_num_units': 8, 'update_learning_rate': 2.0}
mean: -0.00208, std: 0.00017, params: {'hidden0_num_units': 9, 'update_learning_rate': 0.1}
mean: -0.00210, std: 0.00015, params: {'hidden0_num_units': 9, 'update_learning_rate': 0.2}
mean: -0.00210, std: 0.00015, params: {'hidden0_num_units': 9, 'update_learning_rate': 0.3}
