mean: -0.00160, std: 0.00013, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.1}
mean: -0.00160, std: 0.00013, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.2}
mean: -0.00160, std: 0.00013, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.3}
mean: -0.00160, std: 0.00013, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.4}
mean: -0.00160, std: 0.00013, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.5}
mean: -0.00160, std: 0.00013, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.6}
mean: -0.00152, std: 0.00018, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.7}
mean: -0.00152, std: 0.00012, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.8}
mean: -0.00152, std: 0.00012, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.9}
mean: -0.00152, std: 0.00012, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.0}
mean: -0.00152, std: 0.00012, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.1}
mean: -0.00152, std: 0.00012, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.2}
mean: -0.00152, std: 0.00012, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.3}
mean: -0.00145, std: 0.00016, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.4}
mean: -0.00149, std: 0.00020, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.5}
mean: -0.00149, std: 0.00020, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.6}
mean: -0.00149, std: 0.00020, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.7}
mean: -0.00149, std: 0.00020, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.8}
mean: -0.00149, std: 0.00020, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.9}
mean: -0.00149, std: 0.00020, params: {'hidden0_num_units': 4, 'update_learning_rate': 2.0}
mean: -0.00178, std: 0.00029, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.1}
mean: -0.00178, std: 0.00029, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.2}
mean: -0.00178, std: 0.00029, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.3}
mean: -0.00178, std: 0.00029, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.4}
mean: -0.00178, std: 0.00029, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.5}
mean: -0.00178, std: 0.00029, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.6}
mean: -0.00185, std: 0.00031, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.7}
mean: -0.00198, std: 0.00037, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.8}
mean: -0.00198, std: 0.00037, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.9}
mean: -0.00198, std: 0.00037, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.0}
mean: -0.00198, std: 0.00037, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.1}
mean: -0.00198, std: 0.00037, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.2}
mean: -0.00198, std: 0.00037, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.3}
mean: -0.00150, std: 0.00010, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.4}
mean: -0.00148, std: 0.00010, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.5}
mean: -0.00148, std: 0.00010, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.6}
mean: -0.00148, std: 0.00010, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.7}
mean: -0.00148, std: 0.00010, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.8}
mean: -0.00148, std: 0.00010, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.9}
mean: -0.00148, std: 0.00010, params: {'hidden0_num_units': 5, 'update_learning_rate': 2.0}
mean: -0.00172, std: 0.00019, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.1}
mean: -0.00172, std: 0.00019, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.2}
mean: -0.00172, std: 0.00019, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.3}
mean: -0.00172, std: 0.00019, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.4}
mean: -0.00172, std: 0.00019, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.5}
mean: -0.00172, std: 0.00019, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.6}
mean: -0.00179, std: 0.00010, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.7}
mean: -0.00176, std: 0.00013, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.8}
mean: -0.00176, std: 0.00013, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.9}
mean: -0.00176, std: 0.00013, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.0}
mean: -0.00176, std: 0.00013, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.1}
mean: -0.00176, std: 0.00013, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.2}
mean: -0.00176, std: 0.00013, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.3}
mean: -0.00157, std: 0.00011, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.4}
mean: -0.00158, std: 0.00012, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.5}
mean: -0.00158, std: 0.00012, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.6}
mean: -0.00158, std: 0.00012, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.7}
mean: -0.00158, std: 0.00012, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.8}
mean: -0.00158, std: 0.00012, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.9}
mean: -0.00158, std: 0.00012, params: {'hidden0_num_units': 6, 'update_learning_rate': 2.0}
mean: -0.00158, std: 0.00013, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.1}
mean: -0.00158, std: 0.00013, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.2}
mean: -0.00158, std: 0.00013, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.3}
mean: -0.00158, std: 0.00013, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.4}
mean: -0.00158, std: 0.00013, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.5}
mean: -0.00158, std: 0.00013, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.6}
mean: -0.00186, std: 0.00029, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.7}
mean: -0.00234, std: 0.00012, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.8}
mean: -0.00234, std: 0.00012, params: {'hidden0_num_units': 7, 'update_learning_rate': 0.9}
mean: -0.00234, std: 0.00012, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.0}
mean: -0.00234, std: 0.00012, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.1}
mean: -0.00234, std: 0.00012, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.2}
mean: -0.00234, std: 0.00012, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.3}
mean: -0.00171, std: 0.00039, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.4}
mean: -0.00145, std: 0.00007, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.5}
mean: -0.00145, std: 0.00007, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.6}
mean: -0.00145, std: 0.00007, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.7}
mean: -0.00145, std: 0.00007, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.8}
mean: -0.00145, std: 0.00007, params: {'hidden0_num_units': 7, 'update_learning_rate': 1.9}
mean: -0.00145, std: 0.00007, params: {'hidden0_num_units': 7, 'update_learning_rate': 2.0}
mean: -0.00149, std: 0.00018, params: {'hidden0_num_units': 8, 'update_learning_rate': 0.1}
mean: -0.00149, std: 0.00018, params: {'hidden0_num_units': 8, 'update_learning_rate': 0.2}
mean: -0.00149, std: 0.00018, params: {'hidden0_num_units': 8, 'update_learning_rate': 0.3}
mean: -0.00149, std: 0.00018, params: {'hidden0_num_units': 8, 'update_learning_rate': 0.4}
mean: -0.00149, std: 0.00018, params: {'hidden0_num_units': 8, 'update_learning_rate': 0.5}
mean: -0.00149, std: 0.00018, params: {'hidden0_num_units': 8, 'update_learning_rate': 0.6}
mean: -0.00146, std: 0.00022, params: {'hidden0_num_units': 8, 'update_learning_rate': 0.7}
mean: -0.00148, std: 0.00024, params: {'hidden0_num_units': 8, 'update_learning_rate': 0.8}
mean: -0.00148, std: 0.00024, params: {'hidden0_num_units': 8, 'update_learning_rate': 0.9}
mean: -0.00148, std: 0.00024, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.0}
mean: -0.00148, std: 0.00024, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.1}
mean: -0.00148, std: 0.00024, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.2}
mean: -0.00148, std: 0.00024, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.3}
mean: -0.00212, std: 0.00030, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.4}
mean: -0.00213, std: 0.00030, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.5}
mean: -0.00213, std: 0.00030, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.6}
mean: -0.00213, std: 0.00030, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.7}
mean: -0.00213, std: 0.00030, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.8}
mean: -0.00213, std: 0.00030, params: {'hidden0_num_units': 8, 'update_learning_rate': 1.9}
mean: -0.00213, std: 0.00030, params: {'hidden0_num_units': 8, 'update_learning_rate': 2.0}
mean: -0.00210, std: 0.00008, params: {'hidden0_num_units': 9, 'update_learning_rate': 0.1}
mean: -0.00210, std: 0.00008, params: {'hidden0_num_units': 9, 'update_learning_rate': 0.2}
mean: -0.00210, std: 0.00008, params: {'hidden0_num_units': 9, 'update_learning_rate': 0.3}
mean: -0.00210, std: 0.00008, params: {'hidden0_num_units': 9, 'update_learning_rate': 0.4}
mean: -0.00210, std: 0.00008, params: {'hidden0_num_units': 9, 'update_learning_rate': 0.5}
mean: -0.00210, std: 0.00008, params: {'hidden0_num_units': 9, 'update_learning_rate': 0.6}
mean: -0.00192, std: 0.00029, params: {'hidden0_num_units': 9, 'update_learning_rate': 0.7}
mean: -0.00193, std: 0.00045, params: {'hidden0_num_units': 9, 'update_learning_rate': 0.8}
mean: -0.00193, std: 0.00045, params: {'hidden0_num_units': 9, 'update_learning_rate': 0.9}
mean: -0.00193, std: 0.00045, params: {'hidden0_num_units': 9, 'update_learning_rate': 1.0}
mean: -0.00193, std: 0.00045, params: {'hidden0_num_units': 9, 'update_learning_rate': 1.1}
mean: -0.00193, std: 0.00045, params: {'hidden0_num_units': 9, 'update_learning_rate': 1.2}
mean: -0.00193, std: 0.00045, params: {'hidden0_num_units': 9, 'update_learning_rate': 1.3}
mean: -0.00165, std: 0.00006, params: {'hidden0_num_units': 9, 'update_learning_rate': 1.4}
mean: -0.00166, std: 0.00006, params: {'hidden0_num_units': 9, 'update_learning_rate': 1.5}
mean: -0.00166, std: 0.00006, params: {'hidden0_num_units': 9, 'update_learning_rate': 1.6}
mean: -0.00166, std: 0.00006, params: {'hidden0_num_units': 9, 'update_learning_rate': 1.7}
mean: -0.00166, std: 0.00006, params: {'hidden0_num_units': 9, 'update_learning_rate': 1.8}
mean: -0.00166, std: 0.00006, params: {'hidden0_num_units': 9, 'update_learning_rate': 1.9}
mean: -0.00166, std: 0.00006, params: {'hidden0_num_units': 9, 'update_learning_rate': 2.0}
mean: -0.00182, std: 0.00021, params: {'hidden0_num_units': 10, 'update_learning_rate': 0.1}
mean: -0.00182, std: 0.00021, params: {'hidden0_num_units': 10, 'update_learning_rate': 0.2}
mean: -0.00182, std: 0.00021, params: {'hidden0_num_units': 10, 'update_learning_rate': 0.3}
mean: -0.00182, std: 0.00021, params: {'hidden0_num_units': 10, 'update_learning_rate': 0.4}
mean: -0.00182, std: 0.00021, params: {'hidden0_num_units': 10, 'update_learning_rate': 0.5}
mean: -0.00182, std: 0.00021, params: {'hidden0_num_units': 10, 'update_learning_rate': 0.6}
mean: -0.00194, std: 0.00011, params: {'hidden0_num_units': 10, 'update_learning_rate': 0.7}
mean: -0.00185, std: 0.00032, params: {'hidden0_num_units': 10, 'update_learning_rate': 0.8}
mean: -0.00185, std: 0.00032, params: {'hidden0_num_units': 10, 'update_learning_rate': 0.9}
mean: -0.00185, std: 0.00032, params: {'hidden0_num_units': 10, 'update_learning_rate': 1.0}
mean: -0.00185, std: 0.00032, params: {'hidden0_num_units': 10, 'update_learning_rate': 1.1}
mean: -0.00185, std: 0.00032, params: {'hidden0_num_units': 10, 'update_learning_rate': 1.2}
mean: -0.00185, std: 0.00032, params: {'hidden0_num_units': 10, 'update_learning_rate': 1.3}
mean: -0.00178, std: 0.00027, params: {'hidden0_num_units': 10, 'update_learning_rate': 1.4}
mean: -0.00176, std: 0.00030, params: {'hidden0_num_units': 10, 'update_learning_rate': 1.5}
mean: -0.00176, std: 0.00030, params: {'hidden0_num_units': 10, 'update_learning_rate': 1.6}
mean: -0.00176, std: 0.00030, params: {'hidden0_num_units': 10, 'update_learning_rate': 1.7}
mean: -0.00176, std: 0.00030, params: {'hidden0_num_units': 10, 'update_learning_rate': 1.8}
mean: -0.00176, std: 0.00030, params: {'hidden0_num_units': 10, 'update_learning_rate': 1.9}
mean: -0.00176, std: 0.00030, params: {'hidden0_num_units': 10, 'update_learning_rate': 2.0}
mean: -0.00157, std: 0.00011, params: {'hidden0_num_units': 11, 'update_learning_rate': 0.1}
mean: -0.00157, std: 0.00011, params: {'hidden0_num_units': 11, 'update_learning_rate': 0.2}
mean: -0.00157, std: 0.00011, params: {'hidden0_num_units': 11, 'update_learning_rate': 0.3}
mean: -0.00157, std: 0.00011, params: {'hidden0_num_units': 11, 'update_learning_rate': 0.4}
mean: -0.00157, std: 0.00011, params: {'hidden0_num_units': 11, 'update_learning_rate': 0.5}
mean: -0.00157, std: 0.00011, params: {'hidden0_num_units': 11, 'update_learning_rate': 0.6}
mean: -0.00185, std: 0.00029, params: {'hidden0_num_units': 11, 'update_learning_rate': 0.7}
mean: -0.00196, std: 0.00041, params: {'hidden0_num_units': 11, 'update_learning_rate': 0.8}
mean: -0.00196, std: 0.00041, params: {'hidden0_num_units': 11, 'update_learning_rate': 0.9}
mean: -0.00196, std: 0.00041, params: {'hidden0_num_units': 11, 'update_learning_rate': 1.0}
mean: -0.00196, std: 0.00041, params: {'hidden0_num_units': 11, 'update_learning_rate': 1.1}
mean: -0.00196, std: 0.00041, params: {'hidden0_num_units': 11, 'update_learning_rate': 1.2}
mean: -0.00196, std: 0.00041, params: {'hidden0_num_units': 11, 'update_learning_rate': 1.3}
mean: -0.00149, std: 0.00011, params: {'hidden0_num_units': 11, 'update_learning_rate': 1.4}
mean: -0.00147, std: 0.00013, params: {'hidden0_num_units': 11, 'update_learning_rate': 1.5}
mean: -0.00147, std: 0.00013, params: {'hidden0_num_units': 11, 'update_learning_rate': 1.6}
mean: -0.00147, std: 0.00013, params: {'hidden0_num_units': 11, 'update_learning_rate': 1.7}
mean: -0.00147, std: 0.00013, params: {'hidden0_num_units': 11, 'update_learning_rate': 1.8}
mean: -0.00147, std: 0.00013, params: {'hidden0_num_units': 11, 'update_learning_rate': 1.9}
mean: -0.00147, std: 0.00013, params: {'hidden0_num_units': 11, 'update_learning_rate': 2.0}
mean: -0.00164, std: 0.00008, params: {'hidden0_num_units': 12, 'update_learning_rate': 0.1}
mean: -0.00164, std: 0.00008, params: {'hidden0_num_units': 12, 'update_learning_rate': 0.2}
mean: -0.00164, std: 0.00008, params: {'hidden0_num_units': 12, 'update_learning_rate': 0.3}
mean: -0.00164, std: 0.00008, params: {'hidden0_num_units': 12, 'update_learning_rate': 0.4}
mean: -0.00164, std: 0.00008, params: {'hidden0_num_units': 12, 'update_learning_rate': 0.5}
mean: -0.00164, std: 0.00008, params: {'hidden0_num_units': 12, 'update_learning_rate': 0.6}
mean: -0.00159, std: 0.00015, params: {'hidden0_num_units': 12, 'update_learning_rate': 0.7}
