mean: -0.00079, std: 0.00021, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.1}
mean: -0.00079, std: 0.00021, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.2}
mean: -0.00079, std: 0.00021, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.3}
mean: -0.00079, std: 0.00021, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.4}
mean: -0.00079, std: 0.00021, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.5}
mean: -0.00079, std: 0.00021, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.6}
mean: -0.00098, std: 0.00022, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.7}
mean: -0.00117, std: 0.00004, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.8}
mean: -0.00117, std: 0.00004, params: {'hidden0_num_units': 4, 'update_learning_rate': 0.9}
mean: -0.00117, std: 0.00004, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.0}
mean: -0.00117, std: 0.00004, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.1}
mean: -0.00117, std: 0.00004, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.2}
mean: -0.00117, std: 0.00004, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.3}
mean: -0.00123, std: 0.00008, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.4}
mean: -0.00125, std: 0.00006, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.5}
mean: -0.00125, std: 0.00006, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.6}
mean: -0.00125, std: 0.00006, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.7}
mean: -0.00125, std: 0.00006, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.8}
mean: -0.00125, std: 0.00006, params: {'hidden0_num_units': 4, 'update_learning_rate': 1.9}
mean: -0.00125, std: 0.00006, params: {'hidden0_num_units': 4, 'update_learning_rate': 2.0}
mean: -0.00127, std: 0.00006, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.1}
mean: -0.00127, std: 0.00006, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.2}
mean: -0.00127, std: 0.00006, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.3}
mean: -0.00127, std: 0.00006, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.4}
mean: -0.00127, std: 0.00006, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.5}
mean: -0.00127, std: 0.00006, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.6}
mean: -0.00123, std: 0.00009, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.7}
mean: -0.00117, std: 0.00006, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.8}
mean: -0.00117, std: 0.00006, params: {'hidden0_num_units': 5, 'update_learning_rate': 0.9}
mean: -0.00117, std: 0.00006, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.0}
mean: -0.00117, std: 0.00006, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.1}
mean: -0.00117, std: 0.00006, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.2}
mean: -0.00117, std: 0.00006, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.3}
mean: -0.00127, std: 0.00002, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.4}
mean: -0.00126, std: 0.00003, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.5}
mean: -0.00126, std: 0.00003, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.6}
mean: -0.00126, std: 0.00003, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.7}
mean: -0.00126, std: 0.00003, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.8}
mean: -0.00126, std: 0.00003, params: {'hidden0_num_units': 5, 'update_learning_rate': 1.9}
mean: -0.00126, std: 0.00003, params: {'hidden0_num_units': 5, 'update_learning_rate': 2.0}
mean: -0.00119, std: 0.00009, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.1}
mean: -0.00119, std: 0.00009, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.2}
mean: -0.00119, std: 0.00009, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.3}
mean: -0.00119, std: 0.00009, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.4}
mean: -0.00119, std: 0.00009, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.5}
mean: -0.00119, std: 0.00009, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.6}
mean: -0.00119, std: 0.00009, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.7}
mean: -0.00124, std: 0.00003, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.8}
mean: -0.00124, std: 0.00003, params: {'hidden0_num_units': 6, 'update_learning_rate': 0.9}
mean: -0.00124, std: 0.00003, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.0}
mean: -0.00124, std: 0.00003, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.1}
mean: -0.00124, std: 0.00003, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.2}
mean: -0.00124, std: 0.00003, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.3}
mean: -0.00120, std: 0.00001, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.4}
mean: -0.00117, std: 0.00003, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.5}
mean: -0.00117, std: 0.00003, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.6}
mean: -0.00117, std: 0.00003, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.7}
mean: -0.00117, std: 0.00003, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.8}
mean: -0.00117, std: 0.00003, params: {'hidden0_num_units': 6, 'update_learning_rate': 1.9}
mean: -0.00117, std: 0.00003, params: {'hidden0_num_units': 6, 'update_learning_rate': 2.0}
