took 30274.8471901ec


mean: -0.06227, std: 0.00812, params: {'hidden0_num_units': 5, 'hidden1_num_units': 5}
mean: -0.06227, std: 0.00812, params: {'hidden0_num_units': 5, 'hidden1_num_units': 6}
mean: -0.06227, std: 0.00812, params: {'hidden0_num_units': 5, 'hidden1_num_units': 7}
mean: -0.06227, std: 0.00812, params: {'hidden0_num_units': 5, 'hidden1_num_units': 8}
mean: -0.06227, std: 0.00812, params: {'hidden0_num_units': 5, 'hidden1_num_units': 9}
mean: -0.06227, std: 0.00812, params: {'hidden0_num_units': 5, 'hidden1_num_units': 10}
mean: -0.06471, std: 0.01000, params: {'hidden0_num_units': 5, 'hidden1_num_units': 11}
mean: -0.05256, std: 0.01526, params: {'hidden0_num_units': 5, 'hidden1_num_units': 12}
mean: -0.05256, std: 0.01526, params: {'hidden0_num_units': 5, 'hidden1_num_units': 13}
mean: -0.05256, std: 0.01526, params: {'hidden0_num_units': 5, 'hidden1_num_units': 14}
mean: -0.05256, std: 0.01526, params: {'hidden0_num_units': 5, 'hidden1_num_units': 15}
mean: -0.05256, std: 0.01526, params: {'hidden0_num_units': 5, 'hidden1_num_units': 16}
mean: -0.05256, std: 0.01526, params: {'hidden0_num_units': 5, 'hidden1_num_units': 17}
mean: -0.05401, std: 0.00864, params: {'hidden0_num_units': 5, 'hidden1_num_units': 18}
mean: -0.05980, std: 0.00223, params: {'hidden0_num_units': 5, 'hidden1_num_units': 19}
mean: -0.05980, std: 0.00223, params: {'hidden0_num_units': 5, 'hidden1_num_units': 20}
mean: -0.05980, std: 0.00223, params: {'hidden0_num_units': 5, 'hidden1_num_units': 21}
mean: -0.05980, std: 0.00223, params: {'hidden0_num_units': 5, 'hidden1_num_units': 22}
mean: -0.05980, std: 0.00223, params: {'hidden0_num_units': 5, 'hidden1_num_units': 23}
mean: -0.05980, std: 0.00223, params: {'hidden0_num_units': 5, 'hidden1_num_units': 24}
mean: -0.08255, std: 0.01386, params: {'hidden0_num_units': 5, 'hidden1_num_units': 25}
mean: -0.08255, std: 0.01386, params: {'hidden0_num_units': 5, 'hidden1_num_units': 26}
mean: -0.08255, std: 0.01386, params: {'hidden0_num_units': 5, 'hidden1_num_units': 27}
mean: -0.08255, std: 0.01386, params: {'hidden0_num_units': 5, 'hidden1_num_units': 28}
mean: -0.08255, std: 0.01386, params: {'hidden0_num_units': 5, 'hidden1_num_units': 29}
mean: -0.08255, std: 0.01386, params: {'hidden0_num_units': 5, 'hidden1_num_units': 30}
mean: -0.09917, std: 0.03191, params: {'hidden0_num_units': 5, 'hidden1_num_units': 31}
mean: -0.09915, std: 0.03123, params: {'hidden0_num_units': 6, 'hidden1_num_units': 5}
mean: -0.09915, std: 0.03123, params: {'hidden0_num_units': 6, 'hidden1_num_units': 6}
mean: -0.09915, std: 0.03123, params: {'hidden0_num_units': 6, 'hidden1_num_units': 7}
mean: -0.09915, std: 0.03123, params: {'hidden0_num_units': 6, 'hidden1_num_units': 8}
mean: -0.09915, std: 0.03123, params: {'hidden0_num_units': 6, 'hidden1_num_units': 9}
mean: -0.09915, std: 0.03123, params: {'hidden0_num_units': 6, 'hidden1_num_units': 10}
mean: -0.06145, std: 0.00977, params: {'hidden0_num_units': 6, 'hidden1_num_units': 11}
mean: -0.05674, std: 0.01017, params: {'hidden0_num_units': 6, 'hidden1_num_units': 12}
mean: -0.05674, std: 0.01017, params: {'hidden0_num_units': 6, 'hidden1_num_units': 13}
mean: -0.05674, std: 0.01017, params: {'hidden0_num_units': 6, 'hidden1_num_units': 14}
mean: -0.05674, std: 0.01017, params: {'hidden0_num_units': 6, 'hidden1_num_units': 15}
mean: -0.05674, std: 0.01017, params: {'hidden0_num_units': 6, 'hidden1_num_units': 16}
mean: -0.05674, std: 0.01017, params: {'hidden0_num_units': 6, 'hidden1_num_units': 17}
mean: -0.06657, std: 0.01060, params: {'hidden0_num_units': 6, 'hidden1_num_units': 18}
mean: -0.06657, std: 0.01060, params: {'hidden0_num_units': 6, 'hidden1_num_units': 19}
mean: -0.06657, std: 0.01060, params: {'hidden0_num_units': 6, 'hidden1_num_units': 20}
mean: -0.06657, std: 0.01060, params: {'hidden0_num_units': 6, 'hidden1_num_units': 21}
mean: -0.06657, std: 0.01060, params: {'hidden0_num_units': 6, 'hidden1_num_units': 22}
mean: -0.06657, std: 0.01060, params: {'hidden0_num_units': 6, 'hidden1_num_units': 23}
mean: -0.07267, std: 0.01917, params: {'hidden0_num_units': 6, 'hidden1_num_units': 24}
mean: -0.08219, std: 0.01585, params: {'hidden0_num_units': 6, 'hidden1_num_units': 25}
mean: -0.08219, std: 0.01585, params: {'hidden0_num_units': 6, 'hidden1_num_units': 26}
