0 - solids took 4654.31922293ec


mean: -0.04217, std: 0.00981, params: {'hidden0_num_units': 5, 'hidden1_num_units': 5}
mean: -0.04217, std: 0.00981, params: {'hidden0_num_units': 5, 'hidden1_num_units': 6}
mean: -0.04217, std: 0.00981, params: {'hidden0_num_units': 5, 'hidden1_num_units': 7}
mean: -0.04217, std: 0.00981, params: {'hidden0_num_units': 5, 'hidden1_num_units': 8}
mean: -0.04217, std: 0.00981, params: {'hidden0_num_units': 5, 'hidden1_num_units': 9}
mean: -0.04217, std: 0.00981, params: {'hidden0_num_units': 5, 'hidden1_num_units': 10}
mean: -0.04392, std: 0.00894, params: {'hidden0_num_units': 5, 'hidden1_num_units': 11}
mean: -0.04287, std: 0.00156, params: {'hidden0_num_units': 5, 'hidden1_num_units': 12}
mean: -0.04287, std: 0.00156, params: {'hidden0_num_units': 5, 'hidden1_num_units': 13}
mean: -0.04287, std: 0.00156, params: {'hidden0_num_units': 5, 'hidden1_num_units': 14}
mean: -0.04287, std: 0.00156, params: {'hidden0_num_units': 5, 'hidden1_num_units': 15}
mean: -0.04287, std: 0.00156, params: {'hidden0_num_units': 5, 'hidden1_num_units': 16}
mean: -0.04287, std: 0.00156, params: {'hidden0_num_units': 5, 'hidden1_num_units': 17}
mean: -0.03098, std: 0.00833, params: {'hidden0_num_units': 5, 'hidden1_num_units': 18}
mean: -0.02648, std: 0.00203, params: {'hidden0_num_units': 5, 'hidden1_num_units': 19}
mean: -0.02648, std: 0.00203, params: {'hidden0_num_units': 5, 'hidden1_num_units': 20}
mean: -0.02648, std: 0.00203, params: {'hidden0_num_units': 5, 'hidden1_num_units': 21}
mean: -0.02648, std: 0.00203, params: {'hidden0_num_units': 5, 'hidden1_num_units': 22}
mean: -0.02648, std: 0.00203, params: {'hidden0_num_units': 5, 'hidden1_num_units': 23}
mean: -0.02648, std: 0.00203, params: {'hidden0_num_units': 5, 'hidden1_num_units': 24}
mean: -0.03161, std: 0.00488, params: {'hidden0_num_units': 5, 'hidden1_num_units': 25}
mean: -0.03161, std: 0.00488, params: {'hidden0_num_units': 5, 'hidden1_num_units': 26}
mean: -0.03161, std: 0.00488, params: {'hidden0_num_units': 5, 'hidden1_num_units': 27}
mean: -0.03161, std: 0.00488, params: {'hidden0_num_units': 5, 'hidden1_num_units': 28}
mean: -0.03161, std: 0.00488, params: {'hidden0_num_units': 5, 'hidden1_num_units': 29}
mean: -0.03161, std: 0.00488, params: {'hidden0_num_units': 5, 'hidden1_num_units': 30}
mean: -0.04053, std: 0.00804, params: {'hidden0_num_units': 5, 'hidden1_num_units': 31}
mean: -0.04207, std: 0.01153, params: {'hidden0_num_units': 6, 'hidden1_num_units': 5}
mean: -0.04207, std: 0.01153, params: {'hidden0_num_units': 6, 'hidden1_num_units': 6}
mean: -0.04207, std: 0.01153, params: {'hidden0_num_units': 6, 'hidden1_num_units': 7}
mean: -0.04207, std: 0.01153, params: {'hidden0_num_units': 6, 'hidden1_num_units': 8}
mean: -0.04207, std: 0.01153, params: {'hidden0_num_units': 6, 'hidden1_num_units': 9}
mean: -0.04207, std: 0.01153, params: {'hidden0_num_units': 6, 'hidden1_num_units': 10}
mean: -0.03198, std: 0.00452, params: {'hidden0_num_units': 6, 'hidden1_num_units': 11}
mean: -0.03461, std: 0.00143, params: {'hidden0_num_units': 6, 'hidden1_num_units': 12}
mean: -0.03461, std: 0.00143, params: {'hidden0_num_units': 6, 'hidden1_num_units': 13}
mean: -0.03461, std: 0.00143, params: {'hidden0_num_units': 6, 'hidden1_num_units': 14}
mean: -0.03461, std: 0.00143, params: {'hidden0_num_units': 6, 'hidden1_num_units': 15}
mean: -0.03461, std: 0.00143, params: {'hidden0_num_units': 6, 'hidden1_num_units': 16}
mean: -0.03461, std: 0.00143, params: {'hidden0_num_units': 6, 'hidden1_num_units': 17}
mean: -0.04267, std: 0.01460, params: {'hidden0_num_units': 6, 'hidden1_num_units': 18}
mean: -0.04267, std: 0.01460, params: {'hidden0_num_units': 6, 'hidden1_num_units': 19}
mean: -0.04267, std: 0.01460, params: {'hidden0_num_units': 6, 'hidden1_num_units': 20}
mean: -0.04267, std: 0.01460, params: {'hidden0_num_units': 6, 'hidden1_num_units': 21}
mean: -0.04267, std: 0.01460, params: {'hidden0_num_units': 6, 'hidden1_num_units': 22}
mean: -0.04267, std: 0.01460, params: {'hidden0_num_units': 6, 'hidden1_num_units': 23}
mean: -0.04227, std: 0.01462, params: {'hidden0_num_units': 6, 'hidden1_num_units': 24}
mean: -0.03677, std: 0.00742, params: {'hidden0_num_units': 6, 'hidden1_num_units': 25}
mean: -0.03677, std: 0.00742, params: {'hidden0_num_units': 6, 'hidden1_num_units': 26}
mean: -0.03677, std: 0.00742, params: {'hidden0_num_units': 6, 'hidden1_num_units': 27}
mean: -0.03677, std: 0.00742, params: {'hidden0_num_units': 6, 'hidden1_num_units': 28}
mean: -0.03677, std: 0.00742, params: {'hidden0_num_units': 6, 'hidden1_num_units': 29}
mean: -0.03677, std: 0.00742, params: {'hidden0_num_units': 6, 'hidden1_num_units': 30}
mean: -0.03230, std: 0.00725, params: {'hidden0_num_units': 6, 'hidden1_num_units': 31}
mean: -0.03045, std: 0.00464, params: {'hidden0_num_units': 7, 'hidden1_num_units': 5}
mean: -0.03045, std: 0.00464, params: {'hidden0_num_units': 7, 'hidden1_num_units': 6}
mean: -0.03045, std: 0.00464, params: {'hidden0_num_units': 7, 'hidden1_num_units': 7}
mean: -0.03045, std: 0.00464, params: {'hidden0_num_units': 7, 'hidden1_num_units': 8}
