mean: -0.00141, std: 0.00008, params: {'hidden0_num_units': 10, 'update_learning_rate': 0.1}
mean: -0.00141, std: 0.00008, params: {'hidden0_num_units': 10, 'update_learning_rate': 0.3}
mean: -0.00141, std: 0.00008, params: {'hidden0_num_units': 10, 'update_learning_rate': 0.5}
mean: -0.00141, std: 0.00008, params: {'hidden0_num_units': 10, 'update_learning_rate': 0.7}
mean: -0.00141, std: 0.00008, params: {'hidden0_num_units': 10, 'update_learning_rate': 0.9}
mean: -0.00141, std: 0.00008, params: {'hidden0_num_units': 10, 'update_learning_rate': 1.1}
mean: -0.00138, std: 0.00012, params: {'hidden0_num_units': 10, 'update_learning_rate': 1.3}
mean: -0.00135, std: 0.00010, params: {'hidden0_num_units': 10, 'update_learning_rate': 2}
mean: -0.00135, std: 0.00010, params: {'hidden0_num_units': 11, 'update_learning_rate': 0.1}
mean: -0.00135, std: 0.00010, params: {'hidden0_num_units': 11, 'update_learning_rate': 0.3}
mean: -0.00135, std: 0.00010, params: {'hidden0_num_units': 11, 'update_learning_rate': 0.5}
mean: -0.00135, std: 0.00010, params: {'hidden0_num_units': 11, 'update_learning_rate': 0.7}
mean: -0.00136, std: 0.00010, params: {'hidden0_num_units': 11, 'update_learning_rate': 0.9}
mean: -0.00136, std: 0.00008, params: {'hidden0_num_units': 11, 'update_learning_rate': 1.1}
mean: -0.00139, std: 0.00010, params: {'hidden0_num_units': 11, 'update_learning_rate': 1.3}
mean: -0.00139, std: 0.00010, params: {'hidden0_num_units': 11, 'update_learning_rate': 2}
mean: -0.00139, std: 0.00010, params: {'hidden0_num_units': 12, 'update_learning_rate': 0.1}
mean: -0.00137, std: 0.00010, params: {'hidden0_num_units': 12, 'update_learning_rate': 0.3}
mean: -0.00139, std: 0.00010, params: {'hidden0_num_units': 12, 'update_learning_rate': 0.5}
mean: -0.00139, std: 0.00010, params: {'hidden0_num_units': 12, 'update_learning_rate': 0.7}
mean: -0.00138, std: 0.00009, params: {'hidden0_num_units': 12, 'update_learning_rate': 0.9}
mean: -0.00135, std: 0.00009, params: {'hidden0_num_units': 12, 'update_learning_rate': 1.1}
mean: -0.00135, std: 0.00009, params: {'hidden0_num_units': 12, 'update_learning_rate': 1.3}
mean: -0.00135, std: 0.00009, params: {'hidden0_num_units': 12, 'update_learning_rate': 2}
mean: -0.00135, std: 0.00009, params: {'hidden0_num_units': 13, 'update_learning_rate': 0.1}
mean: -0.00135, std: 0.00009, params: {'hidden0_num_units': 13, 'update_learning_rate': 0.3}
mean: -0.00135, std: 0.00009, params: {'hidden0_num_units': 13, 'update_learning_rate': 0.5}
mean: -0.00135, std: 0.00009, params: {'hidden0_num_units': 13, 'update_learning_rate': 0.7}
mean: -0.00133, std: 0.00012, params: {'hidden0_num_units': 13, 'update_learning_rate': 0.9}
mean: -0.00135, std: 0.00009, params: {'hidden0_num_units': 13, 'update_learning_rate': 1.1}
mean: -0.00135, std: 0.00009, params: {'hidden0_num_units': 13, 'update_learning_rate': 1.3}
mean: -0.00135, std: 0.00009, params: {'hidden0_num_units': 13, 'update_learning_rate': 2}
mean: -0.00135, std: 0.00009, params: {'hidden0_num_units': 14, 'update_learning_rate': 0.1}
mean: -0.00133, std: 0.00012, params: {'hidden0_num_units': 14, 'update_learning_rate': 0.3}
mean: -0.00129, std: 0.00010, params: {'hidden0_num_units': 14, 'update_learning_rate': 0.5}
mean: -0.00125, std: 0.00011, params: {'hidden0_num_units': 14, 'update_learning_rate': 0.7}
mean: -0.00125, std: 0.00011, params: {'hidden0_num_units': 14, 'update_learning_rate': 0.9}
mean: -0.00125, std: 0.00011, params: {'hidden0_num_units': 14, 'update_learning_rate': 1.1}
mean: -0.00125, std: 0.00011, params: {'hidden0_num_units': 14, 'update_learning_rate': 1.3}
mean: -0.00125, std: 0.00011, params: {'hidden0_num_units': 14, 'update_learning_rate': 2}
mean: -0.00130, std: 0.00009, params: {'hidden0_num_units': 15, 'update_learning_rate': 0.1}
mean: -0.00136, std: 0.00008, params: {'hidden0_num_units': 15, 'update_learning_rate': 0.3}
mean: -0.00136, std: 0.00008, params: {'hidden0_num_units': 15, 'update_learning_rate': 0.5}
mean: -0.00136, std: 0.00008, params: {'hidden0_num_units': 15, 'update_learning_rate': 0.7}
mean: -0.00136, std: 0.00008, params: {'hidden0_num_units': 15, 'update_learning_rate': 0.9}
mean: -0.00136, std: 0.00008, params: {'hidden0_num_units': 15, 'update_learning_rate': 1.1}
mean: -0.00136, std: 0.00008, params: {'hidden0_num_units': 15, 'update_learning_rate': 1.3}
mean: -0.00133, std: 0.00007, params: {'hidden0_num_units': 15, 'update_learning_rate': 2}
mean: -0.00133, std: 0.00007, params: {'hidden0_num_units': 16, 'update_learning_rate': 0.1}
mean: -0.00133, std: 0.00007, params: {'hidden0_num_units': 16, 'update_learning_rate': 0.3}
mean: -0.00133, std: 0.00007, params: {'hidden0_num_units': 16, 'update_learning_rate': 0.5}
mean: -0.00133, std: 0.00007, params: {'hidden0_num_units': 16, 'update_learning_rate': 0.7}
mean: -0.00133, std: 0.00007, params: {'hidden0_num_units': 16, 'update_learning_rate': 0.9}
mean: -0.00133, std: 0.00007, params: {'hidden0_num_units': 16, 'update_learning_rate': 1.1}
mean: -0.00132, std: 0.00011, params: {'hidden0_num_units': 16, 'update_learning_rate': 1.3}
mean: -0.00132, std: 0.00011, params: {'hidden0_num_units': 16, 'update_learning_rate': 2}
mean: -0.00132, std: 0.00011, params: {'hidden0_num_units': 17, 'update_learning_rate': 0.1}
mean: -0.00132, std: 0.00011, params: {'hidden0_num_units': 17, 'update_learning_rate': 0.3}
mean: -0.00132, std: 0.00011, params: {'hidden0_num_units': 17, 'update_learning_rate': 0.5}
mean: -0.00133, std: 0.00011, params: {'hidden0_num_units': 17, 'update_learning_rate': 0.7}
mean: -0.00130, std: 0.00003, params: {'hidden0_num_units': 17, 'update_learning_rate': 0.9}
mean: -0.00135, std: 0.00008, params: {'hidden0_num_units': 17, 'update_learning_rate': 1.1}
mean: -0.00135, std: 0.00008, params: {'hidden0_num_units': 17, 'update_learning_rate': 1.3}
mean: -0.00135, std: 0.00008, params: {'hidden0_num_units': 17, 'update_learning_rate': 2}
mean: -0.00135, std: 0.00008, params: {'hidden0_num_units': 18, 'update_learning_rate': 0.1}
mean: -0.00129, std: 0.00002, params: {'hidden0_num_units': 18, 'update_learning_rate': 0.3}
mean: -0.00135, std: 0.00008, params: {'hidden0_num_units': 18, 'update_learning_rate': 0.5}
mean: -0.00124, std: 0.00006, params: {'hidden0_num_units': 18, 'update_learning_rate': 0.7}
mean: -0.00126, std: 0.00007, params: {'hidden0_num_units': 18, 'update_learning_rate': 0.9}
mean: -0.00121, std: 0.00006, params: {'hidden0_num_units': 18, 'update_learning_rate': 1.1}
mean: -0.00121, std: 0.00006, params: {'hidden0_num_units': 18, 'update_learning_rate': 1.3}
mean: -0.00125, std: 0.00013, params: {'hidden0_num_units': 18, 'update_learning_rate': 2}
mean: -0.00121, std: 0.00006, params: {'hidden0_num_units': 19, 'update_learning_rate': 0.1}
mean: -0.00127, std: 0.00008, params: {'hidden0_num_units': 19, 'update_learning_rate': 0.3}
mean: -0.00131, std: 0.00009, params: {'hidden0_num_units': 19, 'update_learning_rate': 0.5}
mean: -0.00128, std: 0.00011, params: {'hidden0_num_units': 19, 'update_learning_rate': 0.7}
mean: -0.00133, std: 0.00007, params: {'hidden0_num_units': 19, 'update_learning_rate': 0.9}
mean: -0.00131, std: 0.00009, params: {'hidden0_num_units': 19, 'update_learning_rate': 1.1}
mean: -0.00131, std: 0.00009, params: {'hidden0_num_units': 19, 'update_learning_rate': 1.3}
mean: -0.00135, std: 0.00009, params: {'hidden0_num_units': 19, 'update_learning_rate': 2}
mean: -0.00133, std: 0.00011, params: {'hidden0_num_units': 20, 'update_learning_rate': 0.1}
mean: -0.00137, std: 0.00009, params: {'hidden0_num_units': 20, 'update_learning_rate': 0.3}
mean: -0.00134, std: 0.00010, params: {'hidden0_num_units': 20, 'update_learning_rate': 0.5}
mean: -0.00136, std: 0.00008, params: {'hidden0_num_units': 20, 'update_learning_rate': 0.7}
mean: -0.00137, std: 0.00009, params: {'hidden0_num_units': 20, 'update_learning_rate': 0.9}
mean: -0.00131, std: 0.00013, params: {'hidden0_num_units': 20, 'update_learning_rate': 1.1}
mean: -0.00138, std: 0.00009, params: {'hidden0_num_units': 20, 'update_learning_rate': 1.3}
mean: -0.00139, std: 0.00007, params: {'hidden0_num_units': 20, 'update_learning_rate': 2}
mean: -0.00136, std: 0.00008, params: {'hidden0_num_units': 21, 'update_learning_rate': 0.1}
mean: -0.00139, std: 0.00007, params: {'hidden0_num_units': 21, 'update_learning_rate': 0.3}
mean: -0.00132, std: 0.00012, params: {'hidden0_num_units': 21, 'update_learning_rate': 0.5}
mean: -0.00134, std: 0.00003, params: {'hidden0_num_units': 21, 'update_learning_rate': 0.7}
mean: -0.00126, std: 0.00015, params: {'hidden0_num_units': 21, 'update_learning_rate': 0.9}
mean: -0.00133, std: 0.00004, params: {'hidden0_num_units': 21, 'update_learning_rate': 1.1}
mean: -0.00133, std: 0.00014, params: {'hidden0_num_units': 21, 'update_learning_rate': 1.3}
mean: -0.00133, std: 0.00004, params: {'hidden0_num_units': 21, 'update_learning_rate': 2}
mean: -0.00121, std: 0.00008, params: {'hidden0_num_units': 22, 'update_learning_rate': 0.1}
mean: -0.00122, std: 0.00005, params: {'hidden0_num_units': 22, 'update_learning_rate': 0.3}
mean: -0.00121, std: 0.00006, params: {'hidden0_num_units': 22, 'update_learning_rate': 0.5}
mean: -0.00122, std: 0.00007, params: {'hidden0_num_units': 22, 'update_learning_rate': 0.7}
mean: -0.00120, std: 0.00006, params: {'hidden0_num_units': 22, 'update_learning_rate': 0.9}
mean: -0.00121, std: 0.00008, params: {'hidden0_num_units': 22, 'update_learning_rate': 1.1}
mean: -0.00122, std: 0.00007, params: {'hidden0_num_units': 22, 'update_learning_rate': 1.3}
mean: -0.00124, std: 0.00006, params: {'hidden0_num_units': 22, 'update_learning_rate': 2}
mean: -0.00126, std: 0.00006, params: {'hidden0_num_units': 23, 'update_learning_rate': 0.1}
mean: -0.00124, std: 0.00005, params: {'hidden0_num_units': 23, 'update_learning_rate': 0.3}
mean: -0.00124, std: 0.00006, params: {'hidden0_num_units': 23, 'update_learning_rate': 0.5}
mean: -0.00124, std: 0.00008, params: {'hidden0_num_units': 23, 'update_learning_rate': 0.7}
mean: -0.00124, std: 0.00005, params: {'hidden0_num_units': 23, 'update_learning_rate': 0.9}
mean: -0.00126, std: 0.00006, params: {'hidden0_num_units': 23, 'update_learning_rate': 1.1}
mean: -0.00127, std: 0.00006, params: {'hidden0_num_units': 23, 'update_learning_rate': 1.3}
mean: -0.00130, std: 0.00013, params: {'hidden0_num_units': 23, 'update_learning_rate': 2}
mean: -0.00128, std: 0.00005, params: {'hidden0_num_units': 24, 'update_learning_rate': 0.1}
mean: -0.00127, std: 0.00006, params: {'hidden0_num_units': 24, 'update_learning_rate': 0.3}
mean: -0.00127, std: 0.00006, params: {'hidden0_num_units': 24, 'update_learning_rate': 0.5}
mean: -0.00126, std: 0.00006, params: {'hidden0_num_units': 24, 'update_learning_rate': 0.7}
mean: -0.00132, std: 0.00011, params: {'hidden0_num_units': 24, 'update_learning_rate': 0.9}
mean: -0.00133, std: 0.00007, params: {'hidden0_num_units': 24, 'update_learning_rate': 1.1}
mean: -0.00135, std: 0.00003, params: {'hidden0_num_units': 24, 'update_learning_rate': 1.3}
